task_id,application,players,replicate,seed,budget,method,mse,efficiency_error,data_sha256,source_path
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,24,PermutationSampling,0.02390569954956701,1.1102230246251565e-16,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,24,RegressionMSR,0.002528621317799784,1.0223029676126316e-06,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,24,LeverageSHAP,0.21505971403493024,2.1094237467877974e-15,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,24,ShaplEIG,0.0067794225621517325,8.372759382480055e-07,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,32,KernelSHAP,0.06262113420240399,1.1284339462847015e-08,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,32,PermutationSampling,0.02390569954956701,1.1102230246251565e-16,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,32,RegressionMSR,0.001654715268683099,1.0608700904413126e-06,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,32,LeverageSHAP,0.06262113940000205,1.4432899320127035e-15,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,32,ShaplEIG,0.004781585236305288,9.19746571681479e-07,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,48,KernelSHAP,0.03295422007983197,1.0352489754339445e-08,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,48,PermutationSampling,0.008858438688524015,1.1102230246251565e-16,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,48,RegressionMSR,0.0029989914430675396,8.033830454223789e-07,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,48,LeverageSHAP,0.03295422778002975,3.3306690738754696e-16,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,48,ShaplEIG,9.865386047404714e-06,1.0857911264539055e-06,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,64,KernelSHAP,0.026172725249090374,9.75320646467992e-09,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,2,2,64,PermutationSampling,0.006279205186115323,1.1102230246251565e-16,2cf03965611cbf5a7d09fb53cf7e3a0555d4be7ceb3cf4638ff8e025e5bb76b7,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_2.npz
