task_id,family,application,players,replicate,budget,method,mse,data_sha256,source_evidence
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,7,16,ShaplEIG,0.017705785294507496,20775dac0337e04ddcd7ca2eaa73fd67e799aa715a9052cc6d0e693414cdda46,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,7,24,ShaplEIG,0.009190167737974406,20775dac0337e04ddcd7ca2eaa73fd67e799aa715a9052cc6d0e693414cdda46,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,7,32,ShaplEIG,0.0008385343403760394,20775dac0337e04ddcd7ca2eaa73fd67e799aa715a9052cc6d0e693414cdda46,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,7,48,ShaplEIG,6.212183277251311e-06,20775dac0337e04ddcd7ca2eaa73fd67e799aa715a9052cc6d0e693414cdda46,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,7,64,ShaplEIG,7.430282767005076e-06,20775dac0337e04ddcd7ca2eaa73fd67e799aa715a9052cc6d0e693414cdda46,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,8,16,ShaplEIG,0.01736231368857163,fd8fe5dcd52a23b922849687e0a71f02003b36cda9a566d60f148ff166fb16db,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,8,24,ShaplEIG,0.019365211155814795,fd8fe5dcd52a23b922849687e0a71f02003b36cda9a566d60f148ff166fb16db,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,8,32,ShaplEIG,0.012531449914174278,fd8fe5dcd52a23b922849687e0a71f02003b36cda9a566d60f148ff166fb16db,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,8,48,ShaplEIG,0.00812350047130234,fd8fe5dcd52a23b922849687e0a71f02003b36cda9a566d60f148ff166fb16db,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,8,64,ShaplEIG,0.00042067080277650634,fd8fe5dcd52a23b922849687e0a71f02003b36cda9a566d60f148ff166fb16db,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,9,16,ShaplEIG,0.005569790091827987,379cd8385f4e35e91a5a297962f16c98dd1fb353493854dd86288eddfcf558d2,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,9,24,ShaplEIG,0.0010779033543101516,379cd8385f4e35e91a5a297962f16c98dd1fb353493854dd86288eddfcf558d2,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,9,32,ShaplEIG,5.205777683059602e-06,379cd8385f4e35e91a5a297962f16c98dd1fb353493854dd86288eddfcf558d2,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,9,48,ShaplEIG,6.649716535793043e-06,379cd8385f4e35e91a5a297962f16c98dd1fb353493854dd86288eddfcf558d2,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,9,64,ShaplEIG,7.286951171076692e-06,379cd8385f4e35e91a5a297962f16c98dd1fb353493854dd86288eddfcf558d2,.openresearch/artifacts/claim_3/dv10_raw.csv
dv_gb_bike_sharing,data_valuation,Bike Sharing data valuation / gradient boosting,10,10,16,ShaplEIG,0.008469177449790834,5d93aa900c57486ccfaa02c21eb2cf38c852f2a2c4c4e50db3796929e4fe3bed,.openresearch/artifacts/claim_3/dv10_raw.csv
