application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,5,16,ShaplEIG,0.0014026109786749777,3.258542116135743e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,24,GP-LeverageSHAP,0.0005958205535771758,4.435739642955072e-06,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,24,GP-random,0.0006089563916561011,2.8981024111085496e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,24,GP-uncertainty,0.0008161170559139406,8.905302830986006e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,24,ShaplEIG,8.317608920495847e-05,4.941461835827887e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,32,GP-LeverageSHAP,0.0003128867507985888,1.0813578290025383e-06,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,32,GP-random,0.00045938982281898,1.2235714632602424e-06,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,32,GP-uncertainty,0.00036009518084745534,5.888162457057255e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,32,ShaplEIG,0.0003708080591359303,4.791328672149042e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,48,GP-LeverageSHAP,0.0004010852277998001,1.6090059306583804e-06,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,48,GP-random,0.0005582175991254283,1.2614698567114946e-06,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,48,GP-uncertainty,0.00021526250354511056,2.8522867565050625e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,48,ShaplEIG,0.00010854313451588981,1.4670624247092867e-06,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,64,GP-LeverageSHAP,0.00037320456255575,9.170865863938893e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,64,GP-random,0.0004747211090263858,6.795238132739634e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,64,GP-uncertainty,0.00015173851360093463,2.570648161004385e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,5,64,ShaplEIG,8.05120312712294e-05,8.512337184019003e-07,e8c385d7ee172ffee3231a661be2bbf1068cce102c9e60cad091ddf9ed2c3710
ImageNet ViT-9 local explanation,6,16,GP-LeverageSHAP,0.012960510560610542,6.739507447339754e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
ImageNet ViT-9 local explanation,6,16,GP-random,0.010634103117137183,1.955507309414628e-06,b843c0884ac2fa236964980ac61981f8afc85f158d5b95a851685404b0b4768f
