application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,1,64,RegressionMSR,0.0008589062447173502,2.1144660422578454e-07,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,1,64,LeverageSHAP,0.0013956025250571708,1.1102230246251565e-16,c8ea8c7a24b71432e96557035a78e634b61f98d56a3977228a59100843efb206
ImageNet ViT-9 local explanation,2,16,ShaplEIG,0.0038449545740188154,1.958273930569021e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,ShaplEIG-fixed,0.001802123246199518,2.8514864269801876e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,GP-random,0.003322784623672413,2.0916374976476249e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,GP-uncertainty,0.0032681743965230522,2.91927205298137e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,GP-LeverageSHAP,0.0065392609560068855,8.603596796774582e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,KernelSHAP,0.013861870425290225,3.388577418661498e-09,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,SVARM,0.0039314975247105475,0.44073394199626303,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,UnbiasedKernelSHAP,0.019242097607707856,1.1102230246251565e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,PermutationSampling,0.01332821824577515,0.0,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,RegressionMSR,0.002317012210766994,4.584398993756622e-08,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,16,LeverageSHAP,0.013861869970570331,4.440892098500626e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,ShaplEIG,0.002951332340682545,3.512026353069686e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,ShaplEIG-fixed,0.0006724669758093721,1.1888849241747934e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,GP-random,0.0010230460939309174,8.832136304537386e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,GP-uncertainty,0.0009516245685415723,2.6353246984633927e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,GP-LeverageSHAP,0.0025564856309793016,7.160058550281789e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,KernelSHAP,0.0021785340480741195,2.880635285862354e-09,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,SVARM,0.010299473607291564,0.7577217250251798,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,UnbiasedKernelSHAP,0.010244234687991361,1.1102230246251565e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,PermutationSampling,0.007908499874797031,0.0,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,RegressionMSR,0.0026775389800996053,3.426903276704252e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,24,LeverageSHAP,0.0021785350031440225,1.1102230246251565e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,ShaplEIG,0.002002636898130126,2.4737653356865508e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,ShaplEIG-fixed,0.0007692686264433872,1.4870887554696566e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,GP-random,0.0030311332410192363,6.841281856573289e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,GP-uncertainty,0.0007278106256364706,1.7942446717267302e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,GP-LeverageSHAP,0.0025242704434667424,6.458490315774945e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,KernelSHAP,0.003631437849188948,3.441601559295293e-09,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,SVARM,0.00864828493177581,0.7085002097275315,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,UnbiasedKernelSHAP,0.008332395182909756,1.1102230246251565e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,PermutationSampling,0.005373590348003668,1.1102230246251565e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,RegressionMSR,0.0016164113607004917,2.454271452734247e-08,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,32,LeverageSHAP,0.003631436409147914,2.220446049250313e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,ShaplEIG,0.0011718649664038047,1.7570770656227808e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,ShaplEIG-fixed,0.0003241023029880688,4.760976056839006e-06,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,GP-random,0.0007329968346257997,1.9395613337636064e-08,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,48,GP-uncertainty,0.0003968398653666667,6.442378874815802e-07,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
